2021-08-18 16:58:43,239; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 220
2021-08-18 16:58:43,339; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.00E-01
2021-08-18 16:58:48,449; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:48,451; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 213
2021-08-18 16:58:48,549; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E-02
2021-08-18 16:58:53,556; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:53,558; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 206
2021-08-18 16:58:53,659; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-08-18 16:58:58,699; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:58,700; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 200
2021-08-18 16:58:58,805; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-01
2021-08-18 16:59:03,691; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:03,692; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 193
2021-08-18 16:59:03,800; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:59:08,658; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:08,659; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 188
2021-08-18 16:59:08,762; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E-01
2021-08-18 16:59:13,790; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:13,791; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 182
2021-08-18 16:59:13,894; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E-01
2021-08-18 16:59:18,677; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:18,678; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 177
2021-08-18 16:59:18,794; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-01
2021-08-18 16:59:23,625; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:23,626; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 172
2021-08-18 16:59:23,734; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
2021-08-18 16:59:28,573; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:28,574; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 168
2021-08-18 16:59:28,687; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.00E+00
2021-08-18 16:59:33,516; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:33,517; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 164
2021-08-18 16:59:33,622; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:59:38,398; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:38,399; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 160
2021-08-18 16:59:38,501; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 16:59:43,155; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:43,155; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 156
2021-08-18 16:59:43,258; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 16:59:47,945; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:47,946; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 152
2021-08-18 16:59:48,053; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:59:52,831; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:52,832; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 148
2021-08-18 16:59:52,934; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-01
2021-08-18 16:59:57,579; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:59:57,580; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 145
2021-08-18 16:59:57,681; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E-01
2021-08-18 17:00:02,340; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:02,341; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 142
2021-08-18 17:00:02,441; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 17:00:07,094; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:07,095; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 139
2021-08-18 17:00:07,191; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-08-18 17:00:11,733; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:11,734; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 136
2021-08-18 17:00:11,835; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 17:00:16,428; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:16,428; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 133
2021-08-18 17:00:16,529; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 17:00:20,996; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:20,997; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 130
2021-08-18 17:00:21,109; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
2021-08-18 17:00:25,763; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:25,765; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 128
2021-08-18 17:00:25,875; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E+00
2021-08-18 17:00:30,461; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:30,462; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 125
2021-08-18 17:00:30,574; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.00E+00
2021-08-18 17:00:35,070; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:35,071; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 123
2021-08-18 17:00:35,182; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
